,Time,Type,Instrument,Product,Qty.,Avg. price,Status
0,10:48:18,BUY,BANKNIFTY 6th w APR 41300 CE NFO,NRML,0 / 275,20.00,CANCELLED
1,10:29:45,SELL,BANKNIFTY 6th w APR 41300 CE NFO,NRML,275 / 275,36.00,COMPLETE
2,10:29:26,SELL,BANKNIFTY 6th w APR 41300 CE NFO,NRML,0 / 275,36.00,CANCELLED
3,10:28:37,BUY,BANKNIFTY 6th w APR 40000 PE NFO,NRML,275 / 275,14.50,COMPLETE
4,10:28:08,BUY,BANKNIFTY 6th w APR 40000 PE NFO,NRML,0 / 275,28.00 / 27.95 trg.,CANCELLED
5,10:28:05,BUY,BANKNIFTY 6th w APR 40000 PE NFO,NRML,0 / 275,5.00,CANCELLED
6,09:23:31,SELL,BANKNIFTY 6th w APR 39600 PE NFO,NRML,0 / 25,0.00,REJECTED
7,09:20:27,SELL,BANKNIFTY 6th w APR 40000 PE NFO,NRML,275 / 275,18.00,COMPLETE
8,09:18:31,SELL,BANKNIFTY 6th w APR 40000 PE NFO,NRML,0 / 300,20.00,REJECTED
9,09:18:03,BUY,BANKNIFTY 6th w APR 41700 CE NFO,NRML,300 / 300,7.50,COMPLETE
10,,,,,,,
